Country,Country2,Region,Happiness,GDP,Social_support,Healthy_expectancy,Freedom,Generosity,Prevent_Corruption
myanmar,myanmar,southeast asia,low,low,low,low,high,high,high
namibia,namibia,sub - saharan africa,low,medium,medium,low,medium,low,low
nepal,nepal,south asia,medium,low,low,medium,medium,high,high
netherlands,netherlands,western europe,high,high,high,high,high,high,high
new zealand,new zealand,north america,high,high,high,high,high,high,high
nicaragua,nicaragua,latin america and caribbean,high,low,medium,medium,high,medium,high
niger,niger,sub - saharan africa,low,low,low,low,medium,medium,high
nigeria,nigeria,sub - saharan africa,low,low,low,low,medium,medium,low
north cyprus,north cyprus,western europe,medium,high,medium,high,medium,medium,high
norway,norway,western europe,high,high,high,high,high,high,high
pakistan,pakistan,south asia,medium,low,low,low,low,high,medium
palestinian territories,palestinian territories,middle east and north africa,low,low,medium,low,low,low,medium
panama,panama,latin america and caribbean,high,medium,high,high,high,low,low
paraguay,paraguay,latin america and caribbean,medium,medium,high,medium,high,medium,low
peru,peru,latin america and caribbean,medium,medium,medium,medium,medium,low,low
philippines,philippines,southeast asia,medium,medium,medium,low,high,low,high
poland,poland,central and eastern europe,high,high,medium,high,high,low,high
portugal,portugal,western europe,medium,high,medium,high,high,low,low
romania,romania,central and eastern europe,high,high,medium,medium,medium,low,low
russia,russia,commonwealth of independent states,medium,high,high,medium,low,low,low
rwanda,rwanda,sub - saharan africa,low,low,low,low,high,high,high
saudi arabia,saudi arabia,middle east and north africa,high,high,medium,medium,medium,low,high
senegal,senegal,sub - saharan africa,low,low,low,low,low,medium,medium
serbia,serbia,central and eastern europe,medium,medium,medium,medium,low,medium,low
sierra leone,sierra leone,sub - saharan africa,low,low,low,low,low,high,low
singapore,singapore,southeast asia,high,high,high,high,high,medium,high
slovakia,slovakia,central and eastern europe,high,high,high,high,medium,low,low
slovenia,slovenia,central and eastern europe,high,high,high,high,high,medium,medium
south africa,south africa,sub - saharan africa,low,medium,medium,low,medium,low,low
south korea,south korea,east asia,medium,high,medium,high,low,medium,medium
south sudan,south sudan,sub - saharan africa,low,low,low,low,low,medium,medium
spain,spain,western europe,high,high,high,high,medium,medium,medium
sri lanka,sri lanka,south asia,low,medium,medium,medium,medium,high,low
swaziland,swaziland,sub - saharan africa,low,medium,low,low,low,low,high
sweden,sweden,western europe,high,high,high,high,high,high,high
switzerland,switzerland,western europe,high,high,high,high,high,high,high
taiwan province of china,taiwan province of china,east asia,high,high,high,high,medium,medium,high
tajikistan,tajikistan,commonwealth of independent states,medium,low,medium,medium,medium,medium,high
tanzania,tanzania,sub - saharan africa,low,low,low,low,medium,high,high
thailand,thailand,southeast asia,medium,medium,high,medium,high,high,low
togo,togo,sub - saharan africa,low,low,low,low,low,medium,medium
trinidad and tobago,trinidad and tobago,latin america and caribbean,high,high,high,medium,medium,medium,low
tunisia,tunisia,middle east and north africa,low,medium,low,medium,low,low,low
turkey,turkey,middle east and north africa,medium,high,medium,medium,low,low,medium
turkmenistan,turkmenistan,commonwealth of independent states,medium,medium,high,low,medium,high,low
